"Company","Model","Ex-Showroom_Price","Fuel_Type","City_Mileage","Fuel_Tank_Capacity","Seating_Capacity","Type","Handbrake","Doors","Speedometer","Odometer","Gears","Engine_Size","CO2_Emissions","Displacement","Cylinders","Bluetooth","Seats_Material","Body_Type","FM_Radio","Parking_Assistance"
"Tata","Nano Genx","Rs. 2,92,667","Petrol","23.6 km/litre","24 litres","4","Manual","Manual","5","Analog","Digital","4","2","196","624 cc","2","Yes","Fabric","Hatchback","Yes",""
"Tata","Nano Genx","Rs. 2,36,447","Petrol","23.6 km/litre","24 litres","4","Manual","Manual","5","Analog","Digital","4","2.4","221","624 cc","2","Yes","Fabric","Hatchback","Yes",""
"Tata","Nano Genx","Rs. 2,96,661","CNG","23.6 km/litre","15 litres","4","Manual","Manual","4","Analog","Digital","4","1.5","136","624 cc","2","Yes","Fabric","Hatchback","Yes",""
"Tata","Nano Genx","Rs. 3,34,768","Petrol","23.6 km/litre","24 litres","4","Automatic","Manual","5","Analog","Digital","5","3.5","255","624 cc","2","Yes","Fabric","Hatchback","Yes",""
"Tata","Nano Genx","Rs. 2,72,223","Petrol","23.6 km/litre","24 litres","4","Manual","Manual","5","Analog","Digital","4","3.5","244","624 cc","2","Yes","Fabric","Hatchback","Yes",""
"Tata","Nano Genx","Rs. 3,14,815","Petrol","23.6 km/litre","24 litres","4","Automatic","Manual","5","Analog","Digital","5","3.5","230","624 cc","2","Yes","Fabric","Hatchback","Yes",""
"Datsun","Redi-Go","Rs. 2,79,650","Petrol","21.38 km/litre","28 litres","5","Manual","Manual","5","Analog","Digital","5","3.5","232","799 cc","3","Yes","Fabric","Hatchback","Yes",""
"Datsun","Redi-Go","Rs. 3,51,832","Petrol","21.38 km/litre","28 litres","5","Manual","Manual","5","Analog","Digital","5","3.7","255","799 cc","3","Yes","Fabric","Hatchback","Yes",""
"Datsun","Redi-Go","Rs. 3,33,419","Petrol","21.38 km/litre","28 litres","5","Manual","Manual","5","Analog","Digital","5","3.7","267","799 cc","3","Yes","Fabric","Hatchback","Yes",""
"Datsun","Redi-Go","Rs. 3,62,000","Petrol","21.38 km/litre","28 litres","5","Manual","Manual","5","Analog","Digital","5","2.4","212","799 cc","3","Yes","Fabric","Hatchback","Yes","Rear sensors"
"Datsun","Redi-Go","Rs. 3,90,000","Petrol","21.38 km/litre","28 litres","5","Manual","Manual","5","Analog","Digital","5","2.4","225","999 cc","3","Yes","Fabric","Hatchback","Yes",""
